country,count
togo,8.0
qatar,4.4
chile,3.5
algeria,2.857142857142857
new zealand,2.6607142857142856
saint pierre and miquelon,2.4324324324324325
poland,2.310810810810811
tunisia,2.246153846153846
luxembourg,2.1923076923076925
united states,2.1806083650190113
mauritius,2.1666666666666665
indonesia,2.125
réunion,2.0625
india,2.0
south korea,2.0
french polynesia,2.0
serbia,2.0
france,1.93042170523602
senegal,1.9166666666666667
argentina,1.9090909090909092
belgium,1.8857142857142857
canada,1.847457627118644
cuba,1.8333333333333333
portugal,1.8299492385786802
french guiana,1.7954545454545454
romania,1.7692307692307692
mexico,1.75
south africa,1.7272727272727273
switzerland,1.7183673469387755
united arab emirates,1.7142857142857142
guadeloupe,1.6748466257668713
burkina faso,1.6666666666666667
denmark,1.5912408759124088
netherlands,1.5714285714285714
norway,1.5714285714285714
martinique,1.5454545454545454
kenya,1.5
iraq,1.5
hong kong,1.375
new caledonia,1.3333333333333333
malta,1.3333333333333333
czech republic,1.2666666666666666
united kingdom,1.259009009009009
bulgaria,1.25
china,1.2
fr:quebec,1.1724137931034482
greece,1.1111111111111112
republique-de-chine,1.0
israel,1.0
singapore,1.0
lithuania,1.0
spain,0.930323846908734
italy,0.9190751445086706
brazil,0.898876404494382
japan,0.8666666666666667
philippines,0.8
germany,0.7779232111692844
ireland,0.7142857142857143
thailand,0.6896551724137931
iceland,0.6666666666666666
austria,0.6185567010309279
lebanon,0.6
australia,0.5796847635726795
hungary,0.5384615384615384
colombia,0.5
finland,0.4166666666666667
turkey,0.3
albania,0.2857142857142857
slovenia,0.25
cambodia,0.2222222222222222
andorra,0.2
sweden,0.18181818181818182
russia,0.125
other-turquie,0.0
nederland,0.0
côte d'ivoire,0.0
venezuela,0.0
iran,0.0
polska,0.0
cyprus,0.0
belarus,0.0
taiwan,0.0
mayotte,0.0
irlande,0.0
